Dude,Survived
"Kelly, Mr. James",0
"Wilkes, Mrs. James (Ellen Needs)",0
"Myles, Mr. Thomas Francis",0
"Wirz, Mr. Albert",0
"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",0
"Svensson, Mr. Johan Cervin",0
"Connolly, Miss. Kate",0
"Caldwell, Mr. Albert Francis",0
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",1
"Davies, Mr. John Samuel",0
"Ilieff, Mr. Ylio",0
"Jones, Mr. Charles Cresson",0
"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",1
"Howard, Mr. Benjamin",0
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",1
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",1
"Keane, Mr. Daniel",0
"Assaf, Mr. Gerios",0
"Ilmakangas, Miss. Ida Livija",0
"Assaf Khalil, Mrs. Mariana (Miriam"")""",0
"Rothschild, Mr. Martin",0
"Olsen, Master. Artur Karl",1
"Flegenheim, Mrs. Alfred (Antoinette)",1
"Williams, Mr. Richard Norris II",1
"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",1
"Robins, Mr. Alexander A",0
"Ostby, Miss. Helene Ragnhild",1
"Daher, Mr. Shedid",0
"Brady, Mr. John Bertram",1
"Samaan, Mr. Elias",0
"Louch, Mr. Charles Alexander",0
"Jefferys, Mr. Clifford Thomas",0
"Dean, Mrs. Bertram (Eva Georgetta Light)",0
"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",0
"Mock, Mr. Philipp Edmund",1
"Katavelas, Mr. Vassilios (Catavelas Vassilios"")""",0
"Roth, Miss. Sarah A",0
"Cacic, Miss. Manda",0
"Sap, Mr. Julius",0
"Hee, Mr. Ling",0
"Karun, Mr. Franz",0
"Franklin, Mr. Thomas Parham",1
"Goldsmith, Mr. Nathan",0
"Corbett, Mrs. Walter H (Irene Colvin)",1
"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",1
"Peltomaki, Mr. Nikolai Johannes",0
"Chevre, Mr. Paul Romaine",1
"Shaughnessy, Mr. Patrick",0
"Bucknell, Mrs. William Robert (Emma Eliza Ward)",1
"Coutts, Mrs. William (Winnie Minnie"" Treanor)""",1
"Smith, Mr. Lucien Philip",0
"Pulbaum, Mr. Franz",0
"Hocking, Miss. Ellen Nellie""""",1
"Fortune, Miss. Ethel Flora",1
"Mangiavacchi, Mr. Serafino Emilio",0
"Rice, Master. Albert",0
"Cor, Mr. Bartol",0
"Abelseth, Mr. Olaus Jorgensen",0
"Davison, Mr. Thomas Henry",0
"Chaudanson, Miss. Victorine",1
"Dika, Mr. Mirko",0
"McCrae, Mr. Arthur Gordon",0
"Bjorklund, Mr. Ernst Herbert",0
"Bradley, Miss. Bridget Delia",1
"Ryerson, Master. John Borie",1
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",1
"Burns, Miss. Mary Delia",0
"Moore, Mr. Clarence Bloomfield",0
"Tucker, Mr. Gilbert Milligan Jr",1
"Fortune, Mrs. Mark (Mary McDougald)",1
"Mulvihill, Miss. Bertha E",1
"Minkoff, Mr. Lazar",0
"Nieminen, Miss. Manta Josefina",0
"Ovies y Rodriguez, Mr. Servando",0
"Geiger, Miss. Amalie",1
"Keeping, Mr. Edwin",0
"Miles, Mr. Frank",0
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",1
"Aldworth, Mr. Charles Augustus",0
"Doyle, Miss. Elizabeth",1
"Boulos, Master. Akar",1
"Straus, Mr. Isidor",0
"Case, Mr. Howard Brown",0
"Demetri, Mr. Marinko",0
"Lamb, Mr. John Joseph",0
"Khalil, Mr. Betros",0
"Barry, Miss. Julia",1
"Badman, Miss. Emily Louisa",0
"O'Donoghue, Ms. Bridget",1
"Wells, Master. Ralph Lester",1
"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",0
"Pedersen, Mr. Olaf",0
"Davidson, Mrs. Thornton (Orian Hays)",1
"Guest, Mr. Robert",0
"Birnbaum, Mr. Jakob",0
"Tenglin, Mr. Gunnar Isidor",0
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",1
"Makinen, Mr. Kalle Edvard",0
"Braf, Miss. Elin Ester Maria",0
"Nancarrow, Mr. William Henry",0
"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",1
"Weisz, Mr. Leopold",0
"Foley, Mr. William",0
"Johansson Palmquist, Mr. Oskar Leander",0
"Thomas, Mrs. Alexander (Thamine Thelma"")""",1
"Holthen, Mr. Johan Martin",0
"Buckley, Mr. Daniel",0
"Ryan, Mr. Edward",0
"Willer, Mr. Aaron (Abi Weller"")""",0
"Swane, Mr. George",0
"Stanton, Mr. Samuel Ward",0
"Shine, Miss. Ellen Natalia",1
"Evans, Miss. Edith Corse",1
"Buckley, Miss. Katherine",1
"Straus, Mrs. Isidor (Rosalie Ida Blun)",1
"Chronopoulos, Mr. Demetrios",0
"Thomas, Mr. John",0
"Sandstrom, Miss. Beatrice Irene",1
"Beattie, Mr. Thomson",0
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",1
"Watt, Miss. Bertha J",1
"Kiernan, Mr. John",0
"Schabert, Mrs. Paul (Emma Mock)",1
"Carver, Mr. Alfred John",0
"Kennedy, Mr. John",0
"Cribb, Miss. Laura Alice",0
"Brobeck, Mr. Karl Rudolf",0
"McCoy, Miss. Alicia",1
"Bowenur, Mr. Solomon",0
"Petersen, Mr. Marius",0
"Spinner, Mr. Henry John",0
"Gracie, Col. Archibald IV",0
"Lefebre, Mrs. Frank (Frances)",0
"Thomas, Mr. Charles P",0
"Dintcheff, Mr. Valtcho",0
"Carlsson, Mr. Carl Robert",0
"Zakarian, Mr. Mapriededer",0
"Schmidt, Mr. August",0
"Drapkin, Miss. Jennie",0
"Goodwin, Mr. Charles Frederick",0
"Goodwin, Miss. Jessie Allis",0
"Daniels, Miss. Sarah",1
